tx_hash,block_number,block_time,tx_from,num_swaps,swap_path,pools,projects,profit_usd,gas_cost_usd,net_profit_usd,token_balances
0xa1a7df37503348dfe0ed387a3f583d204ee9fd79d15f0d347968346cea52360e,201408970,2024-04-15 22:00:12.000 UTC,0xdb41a02d8ed34740a03299d746608fa769f055fb,2,WBTC → WETH → WBTC,pancakeswap:0x54076c90 | uniswap:0x2f5e87c9,"pancakeswap, uniswap",0.068182,0.007948,0.060234,WBTC:+0.00000001($+0.0006); WETH:+0.00002170($+0.0675)
0xa2ad7b697ce3f8a30b9fe8133bbc8ac452f73f52e0e5466fa2056a54355ad2f5,201408972,2024-04-15 22:00:13.000 UTC,0x2366fe4522688d8936b01d56b3c843b15a1e9432,2,WBTC → WETH → WBTC,pancakeswap:0x54076c90 | ramses:0x2760cc82,"pancakeswap, ramses",0.013816,0.011285,0.002531,WBTC:+0.00000000($+0.0000); WETH:+0.00000444($+0.0138)
0xbc883c437e83bf0a551d994550313d67ee833db1ffd05a8ebbeba2ea6c2f6404,201409057,2024-04-15 22:00:34.000 UTC,0x06b5bf3e619c377d5a15ac6b9dd224b80e8ba93d,2,WETH → PENDLE → WETH,uniswap:0xb08a8794 | pancakeswap:0x1cb28920,"uniswap, pancakeswap",0.025383,0.006864,0.018519,WETH:+0.00000816($+0.0254); PENDLE:+0.00000000($+0.0000)
0xdc9f19112ad67a402adf4e2031d4df65443684ff465063bada4c8428b09bcf16,201409116,2024-04-15 22:00:49.000 UTC,0x9ec1dedacb6f2b556c8432da24cca1285cde1726,2,USDC → USD₮0 → USDC,dodo:0xe4b2dfc8 | sushiswap:0xd9e96f78,"dodo, sushiswap",0.098395,0.000005,0.098390,USDC:+0.00000200($+0.0000); USD₮0:+0.09825500($+0.0984)
0x34f96bbb06bc149939b7e7078c8bcc3d4d0e83d92d2d4b6cf63f3a9c0c45fe32,201409138,2024-04-15 22:00:55.000 UTC,0x879c2a2f7e4071ebdc971e508885d4a8cdeaf227,3,WETH → USD₮0 → USDC → WETH,pancakeswap:0x389938cf | solidly:0xadf56f49 | pancakeswap:0x7fcdc354,"pancakeswap, solidly, pancakeswap",0.047534,0.012771,0.034763,WETH:+0.00001528($+0.0475); USD₮0:+0.00000000($+0.0000); USDC:+0.00000000($+0.0000)
0xa17ba6a0d04e59b8a5492dfd684686d4cf1eb9eb7a94124db5b100c3cbc39fd0,201409177,2024-04-15 22:01:05.000 UTC,0x6a5ee6813f537a2b71e9f9588ff8d3f4537d26c2,2,WETH → USDC → WETH,solidly:0x6c9ab1c1 | pancakeswap:0x7fcdc354,"solidly, pancakeswap",0.003593,0.009967,-0.006374,WETH:+0.00000000($+0.0000); USDC:+0.00358700($+0.0036)
0x3481ef5ffd073322d93de83c4945ced44287f82727f2277d9cc21562466b3103,201409228,2024-04-15 22:01:17.000 UTC,0x879c2a2f7e4071ebdc971e508885d4a8cdeaf227,3,USDC → RAM → ICHI → USDC,ramses:0x4eec5b23 | ramses:0x3546333d | uniswap:0xe02e1d8c,"ramses, ramses, uniswap",0.191545,0.000005,0.191540,USDC:+0.19121300($+0.1915); RAM:+0.00000000($+0.0000); ICHI:+0.00000000($+0.0000)
0x03ca69ee5e41572139927e8de00125ac59c7a656e47162eb25dcd0217ca7d86f,201409243,2024-04-15 22:01:21.000 UTC,0xdb41a02d8ed34740a03299d746608fa769f055fb,3,USDV → USDC → WETH → USDV,trader_joe:0x53ecccca | pancakeswap:0x7fcdc354 | uniswap:0x8f5ccd50,"trader_joe, pancakeswap, uniswap",0.026978,0.012310,0.014668,USDV:+0.00125000($+0.0013); USDC:+0.00000100($+0.0000); WETH:+0.00000827($+0.0257)
0x5578525743309b2d34f0fa47a8ada41911fec113c2370917de3fc37977774a1f,201409248,2024-04-15 22:01:22.000 UTC,0xf29b18cb786a045178c8ee9131e0ff69567bdd2b,3,DPX → plsDPX → WETH → DPX,sushiswap:0x16e818e2 | sushiswap:0x471fbc9a | sushiswap:0x339a67fc,"sushiswap, sushiswap, sushiswap",0.009988,0.009305,0.000683,DPX:+0.00000000($+0.0000); plsDPX:+0.00000000($+0.0000); WETH:+0.00000321($+0.0100)
0xd095bdcc7d66eafa2e9c12c7b686e967f8fc10570c19538c7c6703775675b1d5,201409267,2024-04-15 22:01:27.000 UTC,0x879c2a2f7e4071ebdc971e508885d4a8cdeaf227,3,WETH → wXBL → USD₮0 → WETH,sushiswap:0x033f6c83 | uniswap:0xdeed97e4 | uniswap:0x641c00a8,"sushiswap, uniswap, uniswap",0.097988,0.010299,0.087689,WETH:+0.00003148($+0.0980); wXBL:+0.00000000($+0.0000); USD₮0:+0.00000000($+0.0000)
0xf570e2f928df65cf8eccceeb5a56b05e342fa0a238642f294d492ed9b99ce336,201409275,2024-04-15 22:01:29.000 UTC,0xf29b18cb786a045178c8ee9131e0ff69567bdd2b,3,WETH → USDC → ICHI → WETH,pancakeswap:0x7fcdc354 | uniswap:0xe02e1d8c | uniswap:0x071427e4,"pancakeswap, uniswap, uniswap",0.016284,0.012591,0.003693,WETH:+0.00000523($+0.0163); USDC:+0.00000000($+0.0000); ICHI:+0.00000000($+0.0000)
0xc4d41b492dc0e8460dce5593607bc087a5f1affc2a1144394e98e9fefecc6f5f,201409430,2024-04-15 22:02:09.000 UTC,0x54364b93bdeadad411b57408b8d4fb9681f3d263,3,WETH → USDV → USD₮0 → WETH,uniswap:0x8f5ccd50 | uniswap:0x4992de01 | pancakeswap:0x389938cf,"uniswap, uniswap, pancakeswap",0.162898,0.026819,0.136079,WETH:+0.00005234($+0.1629); USDV:+0.00000000($+0.0000); USD₮0:+0.00000000($+0.0000)
0x38a5631a0abb6c3a1cd3c0116979174accb980e3d115e312cc431b1d176bcdd3,201409457,2024-04-15 22:02:16.000 UTC,0x879c2a2f7e4071ebdc971e508885d4a8cdeaf227,3,WETH → USDV → USDC → WETH,uniswap:0x8f5ccd50 | uniswap:0x536f4b1c | pancakeswap:0x7fcdc354,"uniswap, uniswap, pancakeswap",0.047559,0.012479,0.035079,WETH:+0.00001528($+0.0476); USDV:+0.00000000($+0.0000); USDC:+0.00000000($+0.0000)
