tx_hash,block_number,block_time,tx_from,num_swaps,swap_path,pools,projects,profit_usd,gas_cost_usd,net_profit_usd,token_balances
0xaf9daa6285de070139a73e282dbb26c225f166e3b1521996090d87fe8833606f,176351764,2024-02-01 10:00:04.000 UTC,0x5dc0242b4e6f4fa4e51a88dfa1595fc0a48fe14c,3,OSAK → NOLA → WETH → OSAK,sushiswap:0xd3ab007a | sushiswap:0xf89c3657 | uniswap:0x899ad0e3,"sushiswap, sushiswap, uniswap",0.357621,0.152283,0.205338,OSAK:+0.00000000($+0.0000); NOLA:+0.00000000($+0.0000); WETH:+0.00015779($+0.3576)
0x07511caff837c42dfd84bf5f35ccb5e4083c08d3aed6c460bbcb4669ee724702,176351806,2024-02-01 10:00:15.000 UTC,0x845ea755b3a5fcdc904e02b39412756aeb2b9a2a,3,WETH → WBTC → USDC → WETH,camelot:0x96059759 | balancer:0x64541216 | uniswap:0xc31e54c7,"camelot, balancer, uniswap",0.975249,0.328802,0.646447,WETH:+0.00042098($+0.9752); WBTC:+0.00000000($+0.0000); USDC:+0.00000000($+0.0000)
0x8cb39fd9d1eb6ae698c3b1de8990877fdfa52a48f987187f50b24e725b4c1af8,176351929,2024-02-01 10:00:46.000 UTC,0x00b794e8d213395d1133d742c0555de93a30b314,3,OSAK → NOLA → WETH → OSAK,sushiswap:0xd3ab007a | sushiswap:0xf89c3657 | uniswap:0x899ad0e3,"sushiswap, sushiswap, uniswap",0.411504,0.152290,0.259214,OSAK:+0.00000000($+0.0000); NOLA:+0.00000000($+0.0000); WETH:+0.00018156($+0.4115)
0x8ce9cdb2f610913a41bc0b0e710e2814ebd978f9a97b0a794ad30b36dfe0b1ce,176352953,2024-02-01 10:05:11.000 UTC,0x5dc0242b4e6f4fa4e51a88dfa1595fc0a48fe14c,3,ARB → HEGIC → WETH → ARB,uniswap:0xbe900b9a | uniswap:0x1dfc1054 | ramses:0x6ce9bc2d,"uniswap, uniswap, ramses",0.233676,0.189440,0.044236,ARB:+0.00000000($+0.0000); HEGIC:+0.00000000($+0.0000); WETH:+0.00010308($+0.2337)
0x14e8ed6d310eee0f55c8a6b28731d7e12bce25d97d681949fd9e88e071fa6de5,176352954,2024-02-01 10:05:11.000 UTC,0x73a3084d9290eb2cf218542c17e87ceae66c976f,2,WETH → ARB → WETH,ramses:0x6ce9bc2d | solidly:0x46b66c5e,"ramses, solidly",0.199478,0.153694,0.045784,WETH:+0.00008801($+0.1995); ARB:+0.00000000($+0.0000)
0x44e75ad5ae6a0c5edd6c0727c5297d9f26b0aa0c09d33889230eb89bad78fec7,176353561,2024-02-01 10:07:50.000 UTC,0xdb41a02d8ed34740a03299d746608fa769f055fb,2,WETH → PENDLE → WETH,trader_joe:0xe2b32e6d | solidly:0x26c7d024,"trader_joe, solidly",2.320309,0.159456,2.160853,WETH:+0.00102357($+2.3203); PENDLE:+0.00000000($+0.0000)
0x6f7a26fa18a2c3bc5c59dc7115bd5a91a5125a0904ea98561557d3fcd9b8e73d,176353746,2024-02-01 10:08:37.000 UTC,0x9ec1dedacb6f2b556c8432da24cca1285cde1726,2,ARB → USDC → ARB,uniswap:0xb0f6ca40 | ramses:0xee5f2e39,"uniswap, ramses",5.252895,0.000115,5.252781,ARB:+0.00000000($+0.0000); USDC:+5.24721800($+5.2529)
0xfa619c9b84b8dea4e07deb7c16ad8fa8ff2d53dbadec80ac450887c6f1b9833a,176353746,2024-02-01 10:08:37.000 UTC,0x9ec1dedacb6f2b556c8432da24cca1285cde1726,2,USDC → ARB → USDC,ramses:0xee5f2e39 | uniswap:0xb0f6ca40,"ramses, uniswap",5.307604,0.000074,5.307530,USDC:+0.00000000($+0.0000); ARB:+3.08581647($+5.3076)
0xc6901d45395b30755cfcdc5dc96f19478c020b2c21f5e7262257d5a4e12d6714,176353746,2024-02-01 10:08:37.000 UTC,0x9ec1dedacb6f2b556c8432da24cca1285cde1726,2,USDC → WETH → USDC,uniswap:0x17c14d2c | uniswap:0xe754841b,"uniswap, uniswap",20.663360,0.143502,20.519858,USDC:+0.00000000($+0.0000); WETH:+0.00911533($+20.6634)
0xbfef7680ac9a8cc615eb93d193b48b90dc7ed36a69d788a32f47fbef4be1ff0a,176353746,2024-02-01 10:08:37.000 UTC,0xba92439f24756d50eed8496dec8bcd66da77524a,3,USDC → USD₮0 → USDV → USDC,uniswap:0xbe3ad6a5 | uniswap:0x4992de01 | trader_joe:0x53ecccca,"uniswap, uniswap, trader_joe",22.388746,0.000328,22.388418,USDC:+22.18506900($+22.2556); USD₮0:+0.00000000($+0.0000); USDV:+0.13315100($+0.1331)
0xa88a494eb7d75c52933b7c124b039046f7ccd56273ec0d3b37c93c33a028958f,176353747,2024-02-01 10:08:38.000 UTC,0x11145dbc55d226236f5f2d036c91c2c2b95fc834,2,USD₮0 → USDC → USD₮0,ramses:0xdf63268a | uniswap:0xbe3ad6a5,"ramses, uniswap",0.149022,0.000084,0.148938,USD₮0:+0.14901900($+0.1490); USDC:+0.00001000($+0.0000)
0x547f479db574d95982bb245912b480c2a5e88f90a8573c8c47cbaa5f91014d41,176353747,2024-02-01 10:08:38.000 UTC,0xc470f5f8603a103db9af5b27436de49313fd3f46,2,USD₮0 → USDC → USD₮0,balancer:0x1533a327 | uniswap:0x8c9d230d,"balancer, uniswap",0.940997,0.000074,0.940923,USD₮0:+0.00000000($+0.0000); USDC:+0.93998000($+0.9410)
0xeec0203de217bc7537c871d40165d078d1a49ce0f07170cd13357b27b4f57984,176353747,2024-02-01 10:08:38.000 UTC,0x10aa2807e7766b3290e6242d78471987d96b9eff,2,USD₮0 → USDC → USD₮0,camelot:0x3ab5dd69 | uniswap:0x8c9d230d,"camelot, uniswap",2.972912,0.000086,2.972827,USD₮0:+0.00000000($+0.0000); USDC:+2.96969900($+2.9729)
0xbe04498b8a06e52fe4324b6780eac8f70e43f8ebb05770a0b3eaf6d72a9c7512,176353747,2024-02-01 10:08:38.000 UTC,0x8356bbf31517fced3c6238503b31fffa22a8f999,2,USDC → WETH → USDC,sushiswap:0x15e444da | uniswap:0xe754841b,"sushiswap, uniswap",0.735379,0.156628,0.578751,USDC:+0.00000000($+0.0000); WETH:+0.00032440($+0.7354)
